Model,Feature Type,Accuracy,F1-Score,Precision,Recall,Train Time (s),Inference Time (s)
Naive Bayes (TF-IDF),TF-IDF,1.0,1.0,1.0,1.0,0.1395430564880371,0.025023221969604492
SVM (rbf) (Count+SVD),Count+SVD,0.9973684210526316,0.9973714277199919,0.9974090318388564,0.9973684210526316,8.444223880767822,0.5171747207641602
Random Forest (TF-IDF),TF-IDF,1.0,1.0,1.0,1.0,0.6888079643249512,0.05561518669128418
"KNN (k=5, Count+SVD)",Count+SVD,0.7236842105263158,0.6819199982012072,0.6957481538940464,0.7236842105263158,0.0020020008087158203,1.6114540100097656
Neural Network (FastText Features),FastText-like,1.0,1.0,1.0,1.0,19.90245270729065,0.0015006065368652344
